Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,male,C,1,0,A,S
1,1,female,C,1,0,E,C
1,3,female,C,0,0,A,S
1,1,female,C,1,0,C,S
0,3,male,C,0,0,A,S
0,3,male,?,0,0,C,Q
0,1,male,D,0,0,E,S
0,3,male,A,3,1,B,S
1,3,female,C,0,2,D,S
1,2,female,B,1,0,D,C
1,3,female,A,1,1,B,S
1,1,female,D,0,0,B,S
0,3,male,B,0,0,A,S
0,3,male,C,1,5,B,S
0,3,female,B,0,0,C,S
1,2,female,D,0,0,B,S
0,3,male,A,4,1,B,Q
1,2,male,?,0,0,A,S
0,3,female,C,1,0,B,S
1,3,female,?,0,0,A,C
0,2,male,C,0,0,B,S
1,2,male,C,0,0,A,S
1,3,female,B,0,0,C,Q
1,1,male,C,0,0,B,S
0,3,female,A,3,1,B,S
1,3,female,C,1,5,D,S
0,3,male,?,0,0,A,C
0,1,male,B,3,2,D,S
1,3,female,?,0,0,C,Q
0,3,male,?,0,0,C,S
0,1,male,C,0,0,D,C
1,1,female,?,1,0,F,C
1,3,female,?,0,0,A,Q
0,2,male,E,0,0,A,S
0,1,male,C,1,0,E,C
0,1,male,D,1,0,C,S
1,3,male,?,0,0,C,C
0,3,male,C,0,0,A,S
0,3,female,B,2,0,B,S
1,3,female,B,1,0,D,C
0,3,female,C,1,0,A,S
0,2,female,C,1,0,B,S
0,3,male,?,0,0,C,C
1,2,female,A,1,2,D,C
1,3,female,B,0,0,C,Q
0,3,male,?,0,0,A,S
0,3,male,?,1,0,B,Q
1,3,female,?,0,0,A,Q
0,3,male,?,2,0,D,C
0,3,female,B,1,0,B,S
0,3,male,A,4,1,D,S
0,3,male,C,0,0,A,S
1,1,female,D,1,0,E,C
1,2,female,C,1,0,B,S
0,1,male,E,0,1,E,C
1,1,male,?,0,0,B,S
1,2,female,C,0,0,A,S
0,3,male,C,0,0,C,C
1,2,female,A,1,2,B,S
0,3,male,B,5,2,B,S
0,3,male,C,0,0,C,C
1,1,female,C,0,0,C,?
0,1,male,D,1,0,C,S
0,3,male,A,3,2,B,S
0,1,male,?,0,0,D,C
1,3,male,?,1,1,D,C
1,2,female,C,0,0,A,S
0,3,male,B,0,0,C,S
1,3,female,B,4,2,A,S
0,3,male,C,2,0,C,S
0,2,male,C,0,0,A,S
0,3,female,B,5,2,B,S
0,2,male,C,0,0,C,S
0,3,male,C,1,0,D,C
1,3,male,C,0,0,E,S
0,3,male,C,0,0,A,S
0,3,male,?,0,0,C,S
0,3,male,?,0,0,A,S
1,2,male,A,0,2,B,S
1,3,female,C,0,0,A,S
0,3,male,C,0,0,A,S
1,3,male,C,0,0,A,S
1,3,female,?,0,0,C,Q
0,1,male,C,0,0,B,S
1,2,female,B,0,0,A,S
1,3,female,C,3,0,B,S
0,3,male,B,1,3,B,S
0,3,male,?,0,0,A,S
1,1,female,C,3,2,D,S
0,3,male,C,0,0,A,S
0,3,male,C,0,0,A,S
0,3,male,B,0,0,C,S
0,1,male,D,1,0,C,S
0,3,male,C,1,2,B,S
0,3,male,D,0,0,A,S
0,3,male,?,0,0,A,S
0,1,male,E,0,0,D,C
1,1,male,C,0,1,E,C
1,2,female,C,0,1,B,S
0,2,male,C,1,0,B,S
0,3,female,C,0,0,C,S
0,3,male,?,0,0,C,S
0,1,male,C,0,1,E,S
0,3,male,C,0,0,C,S
0,3,male,C,2,0,A,S
0,3,male,C,0,0,C,S
1,3,female,C,0,0,A,S
1,3,male,?,0,0,A,S
0,3,male,C,0,0,C,S
1,3,female,?,1,0,B,Q
0,1,male,D,0,0,C,S
0,3,female,B,1,0,D,C
0,3,male,C,0,0,A,S
0,3,female,B,1,0,A,S
0,3,female,B,0,0,D,C
0,3,male,C,0,0,A,S
0,3,male,E,0,0,A,Q
0,2,male,C,1,0,B,S
0,1,male,C,0,1,F,C
0,3,female,A,4,2,B,S
0,2,male,C,2,0,C,S
0,3,male,?,0,0,A,S
0,2,male,C,1,0,D,C
1,2,female,C,0,0,A,S
0,1,male,D,0,1,E,S
1,3,male,B,1,0,D,C
0,3,male,?,0,0,A,Q
1,3,male,C,0,0,C,S
1,3,female,?,1,1,D,C
0,3,male,D,0,0,A,S
0,3,male,C,0,0,C,C
0,3,male,B,0,0,A,S
0,3,female,D,1,0,A,S
1,2,female,C,1,0,B,S
0,2,male,C,0,0,A,S
0,2,male,C,0,0,D,C
1,1,female,B,0,2,D,S
0,1,male,C,1,0,C,S
0,3,male,B,0,0,C,S
0,1,male,C,0,0,C,C
0,3,female,?,0,2,D,C
1,3,female,C,0,0,A,S
1,3,female,C,1,0,B,S
0,3,male,B,0,0,A,Q
0,2,male,B,0,0,A,S
0,2,male,B,1,1,B,S
1,3,male,C,0,0,C,S
0,3,female,A,2,2,B,S
0,2,male,C,0,2,B,S
0,2,male,D,0,0,A,S
0,2,male,D,0,0,A,S
1,1,female,C,1,0,C,S
0,3,male,D,0,0,A,S
0,3,male,D,0,2,A,S
0,3,male,?,0,0,C,S
0,1,male,D,0,1,E,C
1,3,female,B,0,0,C,Q
0,3,male,C,0,0,A,S
0,3,male,?,0,0,C,S
0,3,male,?,8,2,C,S
0,3,male,D,0,1,B,S
1,2,female,C,0,0,B,S
0,3,male,C,0,0,A,S
0,3,male,B,0,0,C,S
0,3,male,A,4,1,D,S
1,3,male,A,0,2,B,S
1,1,female,?,0,1,C,S
0,3,female,D,1,4,B,S
0,1,male,?,0,0,B,S
0,3,male,C,0,0,E,S
0,1,male,E,0,0,B,S
0,3,male,A,4,1,B,Q
1,3,female,A,1,1,D,S
0,3,male,C,0,0,A,S
0,1,male,D,0,0,D,C
0,3,male,B,1,1,C,S
0,3,male,?,3,1,D,S
0,1,female,D,0,0,D,C
0,2,male,C,0,0,A,S
0,3,male,C,0,0,A,S
0,3,female,?,8,2,C,S
0,2,male,?,0,0,B,C
0,3,male,A,4,2,D,S
1,2,male,A,2,1,B,S
1,3,female,A,0,2,B,S
0,1,male,?,0,0,B,S
1,3,female,?,1,0,B,Q
1,1,male,D,0,0,B,S
0,3,male,C,1,1,B,Q
0,3,male,C,0,0,C,S
1,2,female,C,0,0,A,S
0,2,male,B,0,0,A,S
1,3,female,B,1,0,C,S
1,2,male,A,1,1,B,S
1,1,female,D,0,0,D,C
1,1,female,D,0,0,F,C
0,3,male,?,0,0,A,Q
0,3,male,D,0,1,C,S
1,3,female,?,0,0,A,Q
0,2,female,C,0,0,A,S
0,3,male,C,0,0,A,S
0,3,male,?,8,2,C,S
0,3,male,C,0,0,C,S
0,3,male,D,0,0,A,C
1,3,male,B,0,0,A,S
0,3,female,A,0,1,D,S
0,3,male,C,1,0,B,S
1,3,male,C,0,0,D,C
1,3,female,B,0,0,A,Q
1,1,male,C,0,0,B,C
0,3,male,C,0,0,A,S
1,2,female,C,0,0,B,S
0,3,male,C,0,0,A,S
0,2,male,C,0,0,A,S
0,3,male,?,1,0,A,Q
1,1,female,C,1,0,D,C
1,3,female,C,0,0,A,S
0,2,male,D,1,0,B,S
1,1,female,C,0,0,E,C
0,2,male,C,0,0,A,S
1,3,male,B,0,0,A,S
0,2,male,C,0,0,A,S
0,3,male,D,0,0,A,S
0,3,male,?,0,0,C,S
1,1,male,C,1,0,C,S
0,3,male,C,0,0,A,S
1,2,male,B,0,0,A,S
0,3,male,C,0,0,A,S
0,2,male,B,0,0,A,S
0,3,female,?,3,1,D,S
1,1,female,C,1,0,C,S
0,3,male,C,0,0,A,S
0,2,male,D,0,0,A,S
1,3,female,A,4,2,D,S
0,2,male,C,0,0,A,S
0,3,female,?,0,0,A,S
0,2,male,D,1,0,B,S
1,2,female,A,0,2,B,S
0,2,male,B,0,0,A,S
0,2,male,C,0,0,A,S
0,3,female,?,1,0,D,C
1,3,female,?,1,0,B,Q
0,2,male,C,0,0,A,S
0,3,male,C,0,0,A,S
0,3,male,C,0,0,A,C
0,1,male,D,2,0,C,Q
0,3,female,C,0,0,A,S
1,2,female,C,0,2,A,S
1,1,male,C,1,1,E,S
0,2,male,D,1,0,B,S
0,3,male,?,0,0,A,S
0,3,female,C,1,1,D,S
0,1,male,E,0,0,B,S
0,3,male,C,1,0,B,S
0,3,female,D,0,2,D,S
